식당명,카테고리,주소,영업시간,메뉴,가격
만나분식,종합분식,대구 동구 동부로28길 29,,비빔밥,6000원
,,,,비빔국수,6000원
,,,,칼국수,6000원
,,,,잔치국수,5000원
,,,,라면,4000원
