식당명,카테고리,주소,영업시간,메뉴,가격
원조태양칼국수,"칼국수,만두",대구 동구 장등로 79,"`금10:40-21:0014:30,`토10:40-20:0014:30,`일정기휴무 (매주 일요일)`월10:40-21:00`화10:40-21:00`수10:40-21:00,`목10:40-21:00`",태양칼국수,8000원
,,,,잔치국수,7000원
,,,,비빔국수,8000원
,,,,얼큰이칼국수,9000원
,,,,만두칼국수,9000원
,,,,수육 대,30000원
,,,,수육 소,25000원
,,,,암뽕 대,20000원
,,,,암뽕 소,15000원
,,,,만두,6000원
,,,,(준비중)콩국수,10000원
,,,,(준비중)떡국,8500원
,,,,(준비중)떡만두국,9000원
