식당명,카테고리,주소,영업시간,메뉴,가격
돼지두루치기전문점여기 1호점,한식,대구 동구 동부로22길 37-1 1층,,김치제육,18000원
,,,,고추장제육,18000원
,,,,오징어볶음,20000원
,,,,불향목살구이,21000원
,,,,멸치국수,6000원
