식당명,카테고리,주소,영업시간,메뉴,가격
오월로,한식,"대구 동구 장등로 36-1 1층 101호, 102호 새마을금고옆",`금11:00-21:00`토11:00-21:00`일정기휴무 (매주 일요일)`월11:00-21:00`화11:00-21:00`수11:00-21:00`목11:00-21:00`,생선구이맛집 모듬해초쌈고등어구이정식,12000원
,,,,산더미편백해물찜 (소),55000원
,,,,아귀탕맛집 시원한 문어아귀탕,12000원
,,,,모리국수 -프리미엄어탕국수,10000원
,,,,모듬생선구이해초쌈정식,15000원
,,,,모듬해초쌈밥+직화불고기,12000원
,,,,아귀탕백반,10000원
,,,,불쭈꾸미 해초비빔밥,10000원
,,,,웰빙꼬막해초비빔밥,10000원
,,,,참나물굴전,12000원
,,,,단짠의정석)새우머리&우유튀김,12000원
,,,,마늘간장 순살치킨,12000원
