식당명,카테고리,주소,영업시간,메뉴,가격
한양토속삼계탕,"백숙,삼계탕",대구 동구 동부로28길 22 1층 한양토속삼계탕,`월 11:00 - 21:00`화 11:00 - 21:00`수 11:00 - 21:00`목 11:00 - 21:00`금 11:00 - 21:00`토 11:00 - 21:00`일 11:00 - 21:00`,한방삼계탕,15000원
,,,,토종삼계탕,15000원
,,,,전복삼계탕,19000원
,,,,능이오리백숙,73000원
,,,,능이토종닭백숙,68000원
,,,,토종닭한방백숙,58000원
,,,,도리탕(토종닭),43000원
,,,,능이삼계탕,19000원
,,,,송이삼계탕,23000원
