식당명,카테고리,주소,영업시간,메뉴,가격
본가기사식당,기사식당,대구 동구 장등로 85,,정식,7000원
,,,,된장찌개,7000원
,,,,김치찌개,7000원
,,,,순두부찌개,7000원
,,,,콩비지찌개,7000원
