식당명,카테고리,주소,영업시간,메뉴,가격
봉화뭉티기,한식,대구 동구 동부로30길 29-1 1층 봉화뭉티기,`금17:00-23:00`토17:00-23:00`일정기휴무 (매주 일요일)`월17:00-23:00`화17:00-23:00`수17:00-23:00`목17:00-23:00`,육회 중,45000원
,,,,뭉티기 중,50000원
,,,,등골,10000원
,,,,배추전,10000원
,,,,육전,30000원
,,,,생고기육회 반반,60000원
