식당명,카테고리,주소,영업시간,메뉴,가격
제주곤이칼국수 동대구역점,"칼국수,만두",대구 동구 동부로30길 55,`금11:30-02:00`토11:30-02:00`일11:30-02:00`월11:30-02:00`화11:30-02:00`수11:30-02:00`목11:30-02:00`,수육 한 상,32000원
,,,,맑은 칼국수,7900원
,,,,한우사골 들깨칼국수,7900원
,,,,제주고기칼국수,9900원
,,,,제주알곤칼국수,9900원
,,,,제주꼬막비빔밥,9900원
,,,,물막국수,7900원
,,,,비빔막국수,7900원
,,,,제주고기비빔칼국수,9900원
,,,,양념육회비빔밥,13000원
,,,,알곤철판,29000원
,,,,알곤전골,29000원
,,,,소고기알곤철판,29000원
,,,,소고기알곤전골,29000원
,,,,수육(소),15000원
,,,,수육(대),28000원
,,,,알감자전,8000원
,,,,갈비만두 4p,6000원
,,,,짬뽕만두 4p,6000원
