식당명,카테고리,주소,영업시간,메뉴,가격
바다이야기,조개요리,대구 동구 동부로30길 42-1,`금17:00-24:00`토17:00-24:00`일정기휴무 (매주 일요일)`월17:00-24:00`화17:00-24:00`수17:00-24:00`목17:00-24:00`,해산물스페셜5,55000원
,,,,조개구이(가리비),55000원
,,,,육회탕탕이,45000원
,,,,조개탕,39000원
,,,,해산물스페셜4,45000원
,,,,해산물스페셜3,39000원
,,,,문어숙회,39000원
,,,,산낙지,35000원
,,,,전복회,39000원
,,,,해삼,29000원
,,,,멍게,29000원
