식당명,카테고리,주소,영업시간,메뉴,가격
타샤의식탁,양식,대구 동구 송라로10길 6 신천동,`금11:30-21:00`토11:30-21:00`일11:30-21:00`월정기휴무 (매주 월요일)`화11:30-21:00`수11:30-21:00`목11:30-21:00`,수제함박스테이크,14900원
,,,,수제돈가스,10900원
,,,,스프카레,15900원
,,,,치킨카레덮밥,12900원
,,,,찹스테이크정식,17900원
,,,,돈가스카레덮밥,11900원
,,,,쉬림프로제파스타,11900원
,,,,베이컨크림파스타,11900원
,,,,새우토마토파스타,11900원
,,,,오징어콩나물덮밥,11900원
