식당명,카테고리,주소,영업시간,메뉴,가격
매일한상,"도시락,컵밥",대구 동구 송라로10길 33,`금11:30-14:00`토정기휴무 (매주 토요일)`일정기휴무 (매주 일요일)`월11:30-14:00`화11:30-14:00`수11:30-14:00`목11:30-14:00`,월배달도시락 주5회,7000원
,,,,매일바뀌는정식,8000원
,,,,월배달도시락 주3회,7500원
