식당명,카테고리,주소,영업시간,메뉴,가격
금갈비,"육류,고기요리",대구 동구 동부로30길 81 1층,`금16:00-01:00`토12:00-01:00`일12:00-01:00`월16:00-01:00`화16:00-01:00`수16:00-01:00`목16:00-01:00`,돼지양념갈비(200g),13000원
,,,,돼지생갈비(130g),13000원
,,,,항정살(100g),13000원
,,,,한우육회물회(150g),25000원
,,,,고추장 닭목살(150g),10000원
,,,,간장 닭목살 (150g),10000원
,,,,두부 두루치기,12000원
,,,,된장찌개,5000원
,,,,소면,6000원
,,,,비빔국수,6000원
,,,,물냉면,6000원
,,,,비빔냉면,6000원
,,,,산토릭 하이볼,8000원
,,,,짐빔하이볼,8000원
,,,,헨드릭스 하이볼,8000원
