식당명,카테고리,주소,영업시간,메뉴,가격
오백국수 대구MBC점,국수,대구 동구 동대구로 417 1층,`금10:00-21:00`토10:00-21:00`일10:00-21:00`월10:00-21:00`화10:00-21:00`수10:00-21:00`목10:00-21:00`,멸치국수,6000원
,,,,비빔국수,8000원
,,,,생칼국수,8000원
,,,,들깨칼국수,9000원
,,,,얼큰칼국수,8500원
,,,,얼큰수제비,8500원
,,,,생수제비,8000원
,,,,들깨수제비,9000원
,,,,칼만두,9000원
,,,,떡만두국,8500원
,,,,야채비빔밥,9000원
,,,,콩나물국밥,8000원
,,,,열무국수,8000원
,,,,콩국수,9000원
,,,,멸치주먹밥,3000원
,,,,참치주먹밥,3000원
,,,,김치만두,5000원
,,,,감자고기만두,5000원
,,,,갈비만두,5000원
