식당명,카테고리,주소,영업시간,메뉴,가격
인생포차,포장마차,대구 동구 동부로24길 29,,골뱅이무침(소면포함),20000원
,,,,돼지찌개,17000원
,,,,떡볶이,10000원
,,,,홍합탕(계절메뉴),10000원
,,,,얼음황도,8000원
,,,,파인애플샤베트,8000원
,,,,낙지볶음(소면포함),20000원
,,,,가자미구이,8000원
,,,,고등어구이,10000원
,,,,고갈비,13000원
,,,,조기구이,12000원
,,,,모듬생선구이,20000원
,,,,감자전,7000원
,,,,땡초부추전,7000원
,,,,배추전,7000원
,,,,깻잎전,7000원
,,,,김치전,7000원
,,,,오뎅탕,10000원
,,,,알곤탕,13000원
,,,,해장라면,5000원
,,,,뼈없는닭발,13000원
,,,,두부김치,13000원
,,,,달걀스팸구이,13000원
,,,,소세지야채볶음,13000원
,,,,계란말이,13000원
,,,,돼지두루치기,18000원
