식당명,카테고리,주소,영업시간,메뉴,가격
마루,한식,대구 동구 장등로 85-1,,오징어볶음,9000원
,,,,쭈꾸미볶음,9000원
,,,,제육볶음,8000원
,,,,소고기국밥,8000원
,,,,양푼이돼지찌개,8000원
