식당명,카테고리,주소,영업시간,메뉴,가격
한솔냉면 현대시티아울렛 대구점,냉면,대구 동구 동대구로 454 8층,`월 10:30 - 21:00`화 10:30 - 21:00`수 10:30 - 21:00`목 10:30 - 21:00`금 10:30 - 21:00`토 10:30 - 21:00`일 10:30 - 21:00`,한솔물냉면,11500원
,,,,한솔비빔냉면,11500원
,,,,한솔회냉면,12500원
,,,,전주비빔밥,11500원
,,,,전주돌솥비빔밥,12000원
,,,,고등어구이정식,15000원
,,,,불고기돌솥비빔밥,12500원
,,,,뚝배기불고기,14000원
,,,,해물순두부찌개,10500원
,,,,삼겹김치찌개,11000원
,,,,고등어구이 추가,10000원
,,,,떡갈비 1개,4500원
,,,,왕만두 5개,7500원
