식당명,카테고리,주소,영업시간,메뉴,가격
뼈대있는돼지집 본점,돼지고기구이,대구 동구 동부로30길 57 1층,`금14:30-01:00`토12:00-01:00`일12:00-23:00`월14:30-24:00`화14:30-24:00`수14:30-01:00`목14:30-01:00`,숙성삼겹살,12000원
,,,,숙성목살,12000원
,,,,숙성항정살,14000원
,,,,숙성가브리살,14000원
,,,,새우를 품은 삼겹살,14000원
