식당명,카테고리,주소,영업시간,메뉴,가격
기타치는당나귀,뷔페,대구 동구 동부로22길 69-1 기타치는당나귀,`금11:30-13:30`토정기휴무 (매주 토요일)`일정기휴무 (매주 일요일)`월11:30-13:30`화11:30-13:30`수11:30-13:30`목11:30-13:30`,우삼겹볶음(점심특선),9000원
,,,,단체모임뷔페,30000원
