식당명,카테고리,주소,영업시간,메뉴,가격
대한양꼬치,양꼬치,대구 동구 동부로30길 73,`금12:00-24:00`토12:00-24:00`일정기휴무 (매주 일요일)`월12:00-24:00`화12:00-24:00`수12:00-24:00`목12:00-24:00,양꼬치,14000원
,,,,마라양갈비,17000원
,,,,고급양갈비,26000원
,,,,양갈비살,17000원
,,,,양삼겹살,15000원
,,,,소갈비살꼬치,17000원
