식당명,카테고리,주소,영업시간,메뉴,가격
동성로 김치찜,한식,대구 동구 동대구로 447-1 1층 동성로김치찜,`금11:00-21:00`토11:00-16:0015:00라스트오더`일정기휴무 (매주 일요일)`월11:00-21:00`화11:00-21:00`수11:00-21:00`목11:00-21:00`,김치찜(김치ㆍ고기 100%국산),11000원
,,,,김치찌개(김치ㆍ고기 100% 국산),11000원
,,,,김치추가(고춧가루ㆍ배추 100% 국산,5000원
,,,,고기추가(생고기 앞다리살 100%),5000원
,,,,소주,4000원
